,0
2022-07-28,5.3
2022-08-04,5.0
2022-08-11,5.2
2022-08-18,5.1
2022-08-25,5.6
2022-09-01,5.7
2022-09-08,5.9
2022-09-15,6.0
2022-09-22,6.3
2022-09-29,6.7
2022-10-06,6.7
2022-10-13,6.9
2022-10-20,6.9
2022-10-27,7.1
2022-11-03,7.0
2022-11-10,7.1
2022-11-17,6.6
2022-11-23,6.6
2022-12-01,6.5
2022-12-08,6.3
2022-12-15,6.3
2022-12-22,6.3
2022-12-29,6.4
2023-01-05,6.5
2023-01-12,6.3
2023-01-19,6.2
2023-01-26,6.1
2023-02-02,6.1
2023-02-09,6.1
2023-02-16,6.3
2023-02-23,6.5
2023-03-02,6.6
2023-03-09,6.7
2023-03-16,6.6
2023-03-23,6.4
2023-03-30,6.3
2023-04-06,6.3
2023-04-13,6.3
2023-04-20,6.4
2023-04-27,6.4
2023-05-04,6.4
2023-05-11,6.4
2023-05-18,6.4
2023-05-25,6.6
2023-06-01,6.8
2023-06-08,6.7
2023-06-15,6.7
2023-06-22,6.7
2023-06-29,6.7
2023-07-06,6.8
2023-07-13,7.0
2023-07-20,6.8
2023-07-27,6.8
2023-08-03,6.9
2023-08-10,7.0
2023-08-17,7.1
2023-08-24,7.2
2023-08-31,7.2
2023-09-07,7.1
2023-09-14,7.2
2023-09-21,7.2
2023-09-28,7.3
2023-10-05,7.5
2023-10-12,7.6
2023-10-19,7.6
2023-10-26,7.8
