,0
2019-01-01,2.51
2019-04-01,2.59
2019-07-01,2.61
2019-10-01,2.62
2020-01-01,2.66
2020-04-01,2.45
2020-07-01,2.0
2020-10-01,2.12
2021-01-01,1.86
2021-04-01,1.59
2021-07-01,1.54
2021-10-01,1.58
2022-01-01,1.67
2022-04-01,1.84
2022-07-01,2.07
2022-10-01,2.27
2023-01-01,2.44
2023-04-01,2.76
2023-07-01,2.97
2023-10-01,3.1
