,0
2017-01-01,3.9
2017-04-01,3.68
2017-07-01,3.64
2017-10-01,3.57
2018-01-01,3.48
2018-04-01,3.22
2018-07-01,2.99
2018-10-01,2.83
2019-01-01,2.7
2019-04-01,2.6
2019-07-01,2.44
2019-10-01,2.34
2020-01-01,2.35
2020-04-01,2.54
2020-07-01,2.83
2020-10-01,2.74
2021-01-01,2.68
2021-04-01,2.48
2021-07-01,2.3
2021-10-01,2.28
2022-01-01,2.09
2022-04-01,1.96
2022-07-01,1.85
2022-10-01,1.78
2023-01-01,1.74
2023-04-01,1.73
2023-07-01,1.72
